,feature,label,label_name,horizontal
0,input/Kaggle Mushrooms/test/Lactarius/0934_RlRrxJGeyJk.jpg,0,Lactarius,True
1,input/Kaggle Mushrooms/test/Lactarius/1104_Top2jkbHf3c.jpg,0,Lactarius,True
2,input/Kaggle Mushrooms/test/Lactarius/0152_BAwZ_PnBHxg.jpg,0,Lactarius,True
3,input/Kaggle Mushrooms/test/Lactarius/145_PIAz8jmOcec.jpg,0,Lactarius,True
4,input/Kaggle Mushrooms/test/Russula/261_d5h7O0kgH5A.jpg,1,Russula,True
5,input/Kaggle Mushrooms/test/Russula/041_oj6bgFjim74.jpg,1,Russula,True
6,input/Kaggle Mushrooms/test/Russula/523_tIv61F6oSHo.jpg,1,Russula,True
7,input/Kaggle Mushrooms/test/Russula/554_hU0q76FFLbY.jpg,1,Russula,True
8,input/Kaggle Mushrooms/test/Boletus/0179_3nRrmxqtZVY.jpg,2,Boletus,True
9,input/Kaggle Mushrooms/test/Boletus/0625_zqKe97TlLiA.jpg,2,Boletus,False
10,input/Kaggle Mushrooms/test/Boletus/0925_3kaMiVOSpFI.jpg,2,Boletus,True
11,input/Kaggle Mushrooms/test/Boletus/0636_t538mfIEbis.jpg,2,Boletus,True
12,input/Kaggle Mushrooms/test/Cortinarius/662_Ih8e2eabjvQ.jpg,3,Cortinarius,False
13,input/Kaggle Mushrooms/test/Cortinarius/127_ytGMzRFZE5Y.jpg,3,Cortinarius,True
14,input/Kaggle Mushrooms/test/Cortinarius/030_uZL79CoO9A0.jpg,3,Cortinarius,True
15,input/Kaggle Mushrooms/test/Cortinarius/616_EEWbmCFkR64.jpg,3,Cortinarius,True
16,input/Kaggle Mushrooms/test/Amanita/248_5CUQZLoSvAg.jpg,4,Amanita,True
17,input/Kaggle Mushrooms/test/Amanita/332_-v9ivwc3Mxs.jpg,4,Amanita,True
18,input/Kaggle Mushrooms/test/Amanita/546_UcgU_Y5NMHo.jpg,4,Amanita,True
19,input/Kaggle Mushrooms/test/Amanita/640_eE0cirPbEPI.jpg,4,Amanita,True
20,input/Kaggle Mushrooms/test/Entoloma/155_ab4GU9GVNl0.jpg,5,Entoloma,True
21,input/Kaggle Mushrooms/test/Entoloma/366_6IZxSkBqpnI.jpg,5,Entoloma,True
22,input/Kaggle Mushrooms/test/Entoloma/386_GJdEEnKGhm4.jpg,5,Entoloma,True
23,input/Kaggle Mushrooms/test/Entoloma/020_yk9oCxLPbLQ.jpg,5,Entoloma,True
24,input/Kaggle Mushrooms/test/Agaricus/201_gNJ6hT6ZYPA.jpg,6,Agaricus,True
25,input/Kaggle Mushrooms/test/Agaricus/330_a_e5Bbu1aGs.jpg,6,Agaricus,True
26,input/Kaggle Mushrooms/test/Agaricus/213_o8ynZBRKBSE.jpg,6,Agaricus,True
27,input/Kaggle Mushrooms/test/Agaricus/016_qNYODERZEms.jpg,6,Agaricus,True
28,input/Kaggle Mushrooms/test/Hygrocybe/282_GCNiOz2vh5I.jpg,7,Hygrocybe,True
29,input/Kaggle Mushrooms/test/Hygrocybe/318_XZzYVkwPJkU.jpg,7,Hygrocybe,True
30,input/Kaggle Mushrooms/test/Hygrocybe/135_qTWxKFN6_BY.jpg,7,Hygrocybe,True
31,input/Kaggle Mushrooms/test/Hygrocybe/262_aw_Tkz3CwrY.jpg,7,Hygrocybe,True
32,input/Kaggle Mushrooms/test/Suillus/072_qfIXcNPk1eM.jpg,8,Suillus,True
33,input/Kaggle Mushrooms/test/Suillus/070_4XsGawmPhsY.jpg,8,Suillus,True
34,input/Kaggle Mushrooms/test/Suillus/106_JTj8RKxMR3o.jpg,8,Suillus,False
35,input/Kaggle Mushrooms/test/Suillus/124_A3Rr6EGcEuc.jpg,8,Suillus,True
